severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8947786651999999,0.21858686208724976,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
1,0.1,0.8711186524,0.2528615891933441,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
2,0.2,0.8566301308,0.2735764980316162,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
3,0.30000000000000004,0.841546714,0.294134259223938,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
4,0.4,0.8258938635999999,0.3153780400753021,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
5,0.5,0.8073854828,0.3398430943489075,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
6,0.6000000000000001,0.789935336,0.3630062937736511,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
7,0.7000000000000001,0.769651306,0.38879159092903137,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
8,0.8,0.743294584,0.42192342877388,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
9,0.9,0.7065689895999999,0.4660081267356873,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
10,1.0,0.6237886516,0.557990312576294,0.7529600000000001,0.84710419518394,0.6733216643333435,resnet26,softmax,resnet26-softmax
