severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8916379828000001,0.030529914423823364,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
1,0.1,0.8632540228,0.03522693738341332,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
2,0.2,0.8437678204000001,0.038292959332466125,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
3,0.30000000000000004,0.8297631788,0.040452443063259125,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
4,0.4,0.8115718784,0.04324747622013092,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
5,0.5,0.7915687795999999,0.04635672271251679,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
6,0.6000000000000001,0.7697816595999999,0.04962790384888649,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
7,0.7000000000000001,0.7472433304,0.05317087471485138,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
8,0.8,0.7179494131999999,0.05780988186597824,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
9,0.9,0.6754763312000001,0.06455489248037337,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
10,1.0,0.6006200375999999,0.07944582402706146,0.75112,0.7941867520480462,0.0989716574549675,resnet34,odin_temperature-2_noise_mag-1e-05,resnet34-odin_temperature-2_noise_mag-1e-05
