severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9168688828,-3.325612783432007,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
1,0.09999999999999998,0.8893382336,-2.9222521781921387,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
2,0.19999999999999996,0.869913792,-2.6722307205200195,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
3,0.29999999999999993,0.8528029027999999,-2.4831197261810303,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
4,0.3999999999999999,0.8351503012,-2.3316805362701416,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
5,0.5,0.8174270956,-2.18261981010437,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
6,0.6,0.7940343012,-2.0252504348754883,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
7,0.7,0.7697755424,-1.8577146530151367,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
8,0.8,0.7436857216,-1.6969075202941897,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
9,0.9,0.7060417732,-1.4997109174728394,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
10,1.0,0.6121539356000001,-1.0967390537261963,0.7329399999999999,0.8524406273987879,-0.8738891482353209,resnet34_torchvision,entropy,resnet34_torchvision-entropy
