severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.941322158,-5.659672737121582,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
1,0.1,0.9060349712000001,-3.667903184890747,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
2,0.2,0.8843623792,-2.637310266494751,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
3,0.30000000000000004,0.8685043376,-2.0838158130645748,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
4,0.4,0.8521939576,-1.6556222438812256,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
5,0.5,0.8350392543999999,-1.249524474143982,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
6,0.6000000000000001,0.815101168,-0.8412811756134033,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
7,0.7000000000000001,0.7920145479999999,-0.4191282689571381,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
8,0.8,0.7615793076,0.06029949337244034,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
9,0.9,0.7105681840000001,0.7452109456062317,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
10,1.0,0.5807966312,2.0327494144439697,0.8203600000000001,0.8054395369531029,2.198779582977295,resnetv2_101,max_logit,resnetv2_101-max_logit
