severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9496228936,0.24829919636249545,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
1,0.1,0.9160378159999999,0.343290239572525,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
2,0.2,0.8866469288,0.4122706353664398,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
3,0.30000000000000004,0.8655396104,0.455154299736023,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
4,0.4,0.8461736324,0.4924494028091431,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
5,0.5,0.8260189848,0.5271145105361938,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
6,0.6000000000000001,0.8071593340000001,0.5579280257225037,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
7,0.7000000000000001,0.7832040448,0.5938230752944946,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
8,0.8,0.754844808,0.6325401067733765,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
9,0.9,0.709277272,0.6831877827644348,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
10,1.0,0.599523216,0.7793665528297424,0.8233799999999999,0.8697627953728317,0.8312430381774902,resnetv2_101x1_bitm,softmax,resnetv2_101x1_bitm-softmax
