severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9663570252,-3.9785552024841313,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
1,0.09999999999999998,0.9400731876,-3.3930158615112305,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
2,0.19999999999999996,0.9155465856,-2.872351884841919,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
3,0.29999999999999993,0.8983149968,-2.546142101287842,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
4,0.3999999999999999,0.8793271696,-2.318450689315796,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
5,0.5,0.8574387888,-2.1168367862701416,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
6,0.6,0.8372491432,-1.927260518074036,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
7,0.7,0.8121890232,-1.754059076309204,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
8,0.8,0.7836638028,-1.5748251676559448,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
9,0.9,0.73945973,-1.3567239046096802,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
10,1.0,0.639680632,-0.9881339073181152,0.8282200000000001,0.8557619409490205,-0.6949405670166016,resnetv2_50x1_bit_distilled,entropy,resnetv2_50x1_bit_distilled-entropy
