severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9327975128,-10.021367073059082,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
1,0.1,0.8907538779999999,-7.68186616897583,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
2,0.2,0.8623889687999999,-6.479766368865968,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
3,0.30000000000000004,0.8397014131999999,-5.6603755950927725,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
4,0.4,0.8180574516,-4.999226093292236,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
5,0.5,0.7980056231999999,-4.420960426330566,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
6,0.6000000000000001,0.7799522848,-3.9336483478546143,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
7,0.7000000000000001,0.7583236224,-3.398726463317871,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
8,0.8,0.728943302,-2.787487745285034,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
9,0.9,0.6817679972,-1.8480684757232664,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
10,1.0,0.5499165832,0.43068769574165344,0.8281799999999999,0.7734500845815788,0.7915720939636229,resnetv2_50x1_bit_distilled,max_logit,resnetv2_50x1_bit_distilled-max_logit
