severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8837458295999999,6.873341083526611,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
1,0.1,0.8541173531999999,7.121634483337402,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
2,0.2,0.8405741915999999,7.231193542480469,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
3,0.30000000000000004,0.8253935856,7.337112426757812,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
4,0.4,0.81055406,7.433929443359375,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
5,0.5,0.7923335095999999,7.55192756652832,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
6,0.6000000000000001,0.7692820476000001,7.688833713531494,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
7,0.7000000000000001,0.74516002,7.824190616607666,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
8,0.8,0.7169040416,7.987690448760986,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
9,0.9,0.6799543704000001,8.17384147644043,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
10,1.0,0.5916989568,8.562530517578125,0.80362,0.7782119294447641,8.929258346557617,seresnet33ts,max_logit,seresnet33ts-max_logit
