severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.901274146,-4.58625602722168,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
1,0.09999999999999998,0.8770146844,-4.353188991546632,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
2,0.19999999999999996,0.8586221744,-4.204148292541504,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
3,0.29999999999999993,0.8393639696,-4.065226078033446,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
4,0.3999999999999999,0.8238076576,-3.947400331497192,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
5,0.5,0.8011547788,-3.806476831436157,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
6,0.6,0.7831686339999999,-3.6743531227111816,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
7,0.7,0.7563578044,-3.5144975185394287,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
8,0.8,0.728446892,-3.3578033447265625,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
9,0.9,0.6886522088,-3.1485588550567627,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
10,1.0,0.6025102956,-2.7569122314453125,0.80248,0.7938101282540931,-2.392974376678467,seresnet50,entropy,seresnet50-entropy
