severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8997233664000001,0.23922334611415866,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
1,0.1,0.87884555,0.2723832428455353,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
2,0.2,0.8628409936,0.29543206095695496,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
3,0.30000000000000004,0.8470334656,0.3161146640777588,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
4,0.4,0.8299976424,0.3389154672622681,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
5,0.5,0.8133013295999999,0.3615310490131378,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
6,0.6000000000000001,0.7939121492,0.3849605321884155,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
7,0.7000000000000001,0.7738538308,0.4092826247215271,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
8,0.8,0.7445764804,0.4406528174877167,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
9,0.9,0.7084611432,0.4794720709323883,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
10,1.0,0.6145613396,0.5655027627944946,0.80248,0.8478657585139369,0.6496929526329039,seresnet50,softmax,seresnet50-softmax
