severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9018541892,-4.2880611419677725,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
1,0.09999999999999998,0.8800539292,-4.048545837402344,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
2,0.19999999999999996,0.8662532524,-3.909353017807007,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
3,0.29999999999999993,0.8539198943999999,-3.7887587547302246,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
4,0.3999999999999999,0.836827698,-3.6518611907958975,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
5,0.5,0.8190525512,-3.5016674995422363,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
6,0.6,0.7991866944,-3.333500385284424,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
7,0.7,0.7749591856,-3.1407747268676762,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
8,0.8,0.7501428487999999,-2.9543099403381348,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
9,0.9,0.7119084739999999,-2.684132575988769,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
10,1.0,0.6249002008,-2.1646065711975098,0.77984,0.811686415363378,-1.6101163625717163,seresnext26t_32x4d,entropy,seresnext26t_32x4d-entropy
