severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9419858188,-1.7299343347549438,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
1,0.1,0.9175377579999999,-0.8207547068595886,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
2,0.2,0.9033565704000001,-0.4580371081829071,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
3,0.30000000000000004,0.8909020195999999,-0.23795369267463684,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
4,0.4,0.8766248976000001,-0.03143850713968277,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
5,0.5,0.8601551564,0.1523839831352234,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
6,0.6000000000000001,0.840183132,0.3697762489318848,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
7,0.7000000000000001,0.8144144416,0.6097412109375,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
8,0.8,0.7786441348,0.887772798538208,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
9,0.9,0.7199474856,1.2568848133087158,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
10,1.0,0.5503016712,1.949567794799805,0.83762,0.8020946209098966,2.0276849269866943,seresnextaa101d_32x8d,max_logit,seresnextaa101d_32x8d-max_logit
