severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8882271016,0.22618040442466736,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
1,0.1,0.8620586928,0.2632098495960236,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
2,0.2,0.8457454564,0.2845038175582886,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
3,0.30000000000000004,0.8324071772,0.301810622215271,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
4,0.4,0.816115756,0.3213884234428406,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
5,0.5,0.7985686031999999,0.34286195039749146,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
6,0.6000000000000001,0.7792981364,0.3655835688114166,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
7,0.7000000000000001,0.7621574972,0.3855924606323242,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
8,0.8,0.7343625831999999,0.4167472124099731,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
9,0.9,0.6965168968000001,0.4586391746997833,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
10,1.0,0.609321948,0.5477468967437744,0.7302,0.8597040038382205,0.6435332298278809,skresnet18,softmax,skresnet18-softmax
