severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8325164084000001,7.4764342308044425,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
1,0.1,0.7868823176,7.804698944091798,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
2,0.2,0.764322224,7.940124988555907,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
3,0.30000000000000004,0.7449485687999999,8.037234306335451,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
4,0.4,0.7235462156,8.157995223999022,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
5,0.5,0.7013306640000001,8.267082214355469,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
6,0.6000000000000001,0.683563134,8.350983619689941,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
7,0.7000000000000001,0.6582244279999999,8.47465705871582,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
8,0.8,0.6308601964,8.593781471252441,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
9,0.9,0.6001429092,8.716684341430664,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
10,1.0,0.5143114188,8.996967315673828,0.8016,0.7077710506406542,9.06562328338623,skresnext50_32x4d,max_logit,skresnext50_32x4d-max_logit
