severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8985149995999999,0.4081971347332001,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
1,0.1,0.8701425531999999,0.4764865934848786,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
2,0.2,0.8537253323999999,0.5114771723747253,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
3,0.30000000000000004,0.8405199092,0.5356061458587646,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
4,0.4,0.8258161672,0.5629076361656189,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
5,0.5,0.8133063596,0.5849624872207642,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
6,0.6000000000000001,0.7980030795999999,0.6092818975448608,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
7,0.7000000000000001,0.7804185640000001,0.6340380907058716,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
8,0.8,0.7560266044,0.6660267114639282,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
9,0.9,0.724061492,0.7055113911628723,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
10,1.0,0.6325553408,0.7858108878135681,0.80316,0.8574553775136473,0.8643921613693237,ssl_resnext50_32x4d,softmax,ssl_resnext50_32x4d-softmax
