severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.97961153,5.0891313552856445,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
1,0.1,0.9610214824,5.89247989654541,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
2,0.2,0.9433956528,6.34404993057251,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
3,0.30000000000000004,0.9216384895999999,6.756495475769043,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
4,0.4,0.89939773,7.094937324523926,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
5,0.5,0.8788129396,7.338315010070801,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
6,0.6000000000000001,0.8603487096,7.518484592437744,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
7,0.7000000000000001,0.831717554,7.735311031341553,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
8,0.8,0.8001834007999999,7.953115463256836,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
9,0.9,0.7587526515999999,8.182644844055176,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
10,1.0,0.6699518728,8.544114112854004,0.85278,0.7718708358679766,9.003024101257324,swin_base_patch4_window7_224,max_logit,swin_base_patch4_window7_224-max_logit
