severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9822236568000001,0.12622100114822388,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
1,0.1,0.9657213616,0.2019200623035431,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
2,0.2,0.9511536192,0.255723237991333,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
3,0.30000000000000004,0.9327342287999999,0.3132244944572449,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
4,0.4,0.9133547584,0.3678880333900452,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
5,0.5,0.8975177931999999,0.4065622985363007,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
6,0.6000000000000001,0.8780872528,0.4494466483592987,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
7,0.7000000000000001,0.8544106812000001,0.4961260259151459,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
8,0.8,0.8284596608,0.5420258045196533,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
9,0.9,0.7901911044,0.5990277528762817,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
10,1.0,0.6919206872,0.7068743109703064,0.87134,0.8608315711326638,0.8110995292663574,swin_large_patch4_window12_384,softmax,swin_large_patch4_window12_384-softmax
