severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9309459428,-3.661811351776123,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
1,0.09999999999999998,0.8951782456,-3.0416986942291264,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
2,0.19999999999999996,0.8745701564,-2.7776110172271733,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
3,0.29999999999999993,0.8592970448,-2.5899977684021,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
4,0.3999999999999999,0.8380014776,-2.3991968631744385,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
5,0.5,0.8150760252,-2.2255659103393555,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
6,0.6,0.7891268616,-2.0412983894348145,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
7,0.7,0.7634521656,-1.858002781867981,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
8,0.8,0.7334651788,-1.6789056062698364,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
9,0.9,0.6912196532,-1.4493619203567505,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
10,1.0,0.5895927696000001,-1.0495374202728271,0.7328600000000001,0.84075836413481,-0.8847646713256836,swsl_resnet18,entropy,swsl_resnet18-entropy
