severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9133726896000001,-4.220717430114746,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
1,0.09999999999999998,0.8876832748,-3.918105602264404,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
2,0.19999999999999996,0.871486336,-3.753605842590332,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
3,0.29999999999999993,0.8573024512,-3.630685567855835,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
4,0.3999999999999999,0.8409783392,-3.4900074005126958,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
5,0.5,0.8230963488,-3.354196310043335,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
6,0.6,0.803871752,-3.2046127319335938,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
7,0.7,0.7780232756,-3.027226448059082,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
8,0.8,0.7499199536,-2.8363938331604004,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
9,0.9,0.7132791604,-2.6119215488433842,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
10,1.0,0.6214105264,-2.1356332302093506,0.7710600000000001,0.8165522302353053,-1.659685134887695,tf_efficientnet_b0_ap,entropy,tf_efficientnet_b0_ap-entropy
