severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9256284444,-4.072062969207764,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
1,0.09999999999999998,0.9024469844,-3.751613140106201,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
2,0.19999999999999996,0.883711318,-3.556117296218872,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
3,0.29999999999999993,0.8651719028,-3.3837146759033203,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
4,0.3999999999999999,0.8436387411999999,-3.220300674438477,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
5,0.5,0.8244246396,-3.0744283199310303,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
6,0.6,0.8025508732,-2.926368236541748,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
7,0.7,0.7815861004,-2.787727832794189,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
8,0.8,0.7511206772,-2.6323816776275635,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
9,0.9,0.7128964516,-2.4337522983551025,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
10,1.0,0.61678504,-2.0535900592803955,0.81384,0.8249337360737032,-1.7217296361923218,tf_efficientnet_b1_ns,entropy,tf_efficientnet_b1_ns-entropy
