severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9345287248,-4.238576889038087,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
1,0.09999999999999998,0.9046433700000001,-3.7806715965271,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
2,0.19999999999999996,0.8840790236,-3.550013542175293,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
3,0.29999999999999993,0.8591465952,-3.314911365509033,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
4,0.3999999999999999,0.8413870844,-3.148678064346313,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
5,0.5,0.8223241156,-2.9885883331298833,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
6,0.6,0.8014221756,-2.836883068084717,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
7,0.7,0.7774252864,-2.6776657104492188,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
8,0.8,0.7480866836,-2.501530408859253,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
9,0.9,0.7121791232,-2.3116047382354736,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
10,1.0,0.6127430168,-1.8871326446533203,0.7792,0.8419172627815968,-1.5800535678863523,tf_efficientnetv2_b1,entropy,tf_efficientnetv2_b1-entropy
