severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9668270536,5.548931121826172,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
1,0.1,0.9420481140000001,6.243443012237549,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
2,0.2,0.9103089108,6.715359210968018,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
3,0.30000000000000004,0.8787694536,7.065770149230957,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
4,0.4,0.850333108,7.327835083007812,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
5,0.5,0.8211385136,7.549013614654541,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
6,0.6000000000000001,0.7968678187999999,7.731965065002441,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
7,0.7000000000000001,0.7593071048000001,7.947864532470702,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
8,0.8,0.7257788168000001,8.124480247497559,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
9,0.9,0.6717619056,8.363893508911133,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
10,1.0,0.5566339476,8.792027473449707,0.85672,0.7195666640545461,8.995410919189453,tf_efficientnetv2_l_in21ft1k,max_logit,tf_efficientnetv2_l_in21ft1k-max_logit
