severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.937545836,-3.883695363998413,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
1,0.09999999999999998,0.908755406,-3.359260082244873,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
2,0.19999999999999996,0.8888248748,-3.0987002849578857,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
3,0.29999999999999993,0.8672275088,-2.866032600402832,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
4,0.3999999999999999,0.84815843,-2.680060625076294,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
5,0.5,0.831739758,-2.533144474029541,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
6,0.6,0.8159706412000001,-2.4134669303894043,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
7,0.7,0.7965621951999999,-2.2846510410308842,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
8,0.8,0.770963522,-2.1436309814453125,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
9,0.9,0.732626568,-1.9670064449310305,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
10,1.0,0.6356645416,-1.6414602994918823,0.8316,0.8402008262697098,-1.3356341123580933,tf_efficientnetv2_s,entropy,tf_efficientnetv2_s-entropy
