severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.90683246,-4.325712203979491,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
1,0.09999999999999998,0.8772376568,-3.998972415924072,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
2,0.19999999999999996,0.8578339384,-3.821930408477783,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
3,0.29999999999999993,0.8437682448,-3.703313112258911,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
4,0.3999999999999999,0.826291302,-3.5709824562072754,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
5,0.5,0.8112185912000001,-3.4583702087402344,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
6,0.6,0.7873181556,-3.2997233867645264,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
7,0.7,0.7633835688,-3.135485410690308,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
8,0.8,0.73467511,-2.9573638439178467,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
9,0.9,0.6995537439999999,-2.747716188430786,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
10,1.0,0.6123365416,-2.295216560363769,0.73438,0.824580457571001,-1.8343487977981567,tf_mobilenetv3_large_075,entropy,tf_mobilenetv3_large_075-entropy
