severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8852220136,7.083432674407959,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
1,0.1,0.8502265472,7.451032638549805,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
2,0.2,0.8278246764,7.6241631507873535,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
3,0.30000000000000004,0.8115193708,7.744880676269531,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
4,0.4,0.7944461051999999,7.861708164215088,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
5,0.5,0.7780761948,7.974256992340088,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
6,0.6000000000000001,0.7574818524,8.100437164306639,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
7,0.7000000000000001,0.7330806684000001,8.251726150512695,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
8,0.8,0.7064662004000001,8.400208473205566,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
9,0.9,0.6714416999999999,8.588198661804201,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
10,1.0,0.5903181184,8.9905366897583,0.7767,0.7592137046102763,9.438654899597168,tinynet_a,max_logit,tinynet_a-max_logit
