severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9075865504,0.31504881381988525,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
1,0.1,0.8822091531999999,0.3628302216529846,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
2,0.2,0.8635803756,0.39303213357925415,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
3,0.30000000000000004,0.8494404336,0.4163045585155487,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
4,0.4,0.8290647659999999,0.4445728063583374,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
5,0.5,0.8145458612,0.4679158627986908,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
6,0.6000000000000001,0.7960578796,0.4912908971309662,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
7,0.7000000000000001,0.7767974324,0.5143224000930786,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
8,0.8,0.7482428712,0.5461876392364502,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
9,0.9,0.7084896108,0.5847212672233582,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
10,1.0,0.6154272072,0.6626155972480774,0.81534,0.8596299260711915,0.7317112684249878,tnt_s_patch16_224,softmax,tnt_s_patch16_224-softmax
