severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.917568108,0.2274380922317505,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
1,0.1,0.8987881592,0.2612326443195343,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
2,0.2,0.8885149484,0.2785147130489349,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
3,0.30000000000000004,0.8738087512,0.3037366271018982,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
4,0.4,0.8615044356,0.3250826001167297,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
5,0.5,0.8453193284,0.3516666889190674,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
6,0.6000000000000001,0.8288619168000001,0.37838441133499146,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
7,0.7000000000000001,0.8102225868,0.40667295455932617,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
8,0.8,0.782732808,0.4459667503833771,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
9,0.9,0.7389444648000001,0.5054817795753479,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
10,1.0,0.6480714772,0.6142590641975403,0.81714,0.8582293855405725,0.7459077835083008,tresnet_m_448,softmax,tresnet_m_448-softmax
