severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.907915404,-3.9520068168640137,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
1,0.09999999999999998,0.8819873748,-3.641015291213989,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
2,0.19999999999999996,0.8653098396000001,-3.487056016921997,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
3,0.29999999999999993,0.8476355583999999,-3.3469219207763667,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
4,0.3999999999999999,0.831166468,-3.210310220718384,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
5,0.5,0.8109860851999999,-3.06445837020874,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
6,0.6,0.7903257055999999,-2.9171059131622314,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
7,0.7,0.7647547984,-2.7455458641052246,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
8,0.8,0.7360449304,-2.578690767288208,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
9,0.9,0.6950488224,-2.359204053878784,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
10,1.0,0.6135714352,-2.0000932216644287,0.8111,0.8148729313543248,-1.66646409034729,twins_pcpvt_small,entropy,twins_pcpvt_small-entropy
