severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8989339256000001,0.3125891983509064,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
1,0.1,0.8760884823999999,0.3566126227378845,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
2,0.2,0.8613330784000001,0.3805003464221953,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
3,0.30000000000000004,0.8457987368000001,0.40367245674133295,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
4,0.4,0.8291029264,0.42825701832771296,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
5,0.5,0.8126315964,0.4520770609378815,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
6,0.6000000000000001,0.7945596212,0.4773313999176026,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
7,0.7000000000000001,0.7733955624,0.5050351023674011,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
8,0.8,0.7469626356,0.5356001853942871,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
9,0.9,0.707900752,0.5767709612846375,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
10,1.0,0.61716208,0.6623077392578125,0.8111,0.8558044428420671,0.7407301664352417,twins_pcpvt_small,softmax,twins_pcpvt_small-softmax
