severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.920638124,-3.658125638961792,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
1,0.09999999999999998,0.8865838648,-3.1995174884796143,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
2,0.19999999999999996,0.8627447272,-2.9053900241851807,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
3,0.29999999999999993,0.844544716,-2.715134382247925,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
4,0.3999999999999999,0.8247712572,-2.541350841522217,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
5,0.5,0.8026084964,-2.373462438583374,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
6,0.6,0.7798939384,-2.2119770050048833,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
7,0.7,0.7499013400000001,-2.0070626735687256,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
8,0.8,0.7197100552,-1.829184651374817,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
9,0.9,0.6754124928,-1.5902498960494995,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
10,1.0,0.5808161332,-1.1914489269256592,0.70382,0.8506464128166583,-1.0513145923614502,vgg11_bn_torchvision,entropy,vgg11_bn_torchvision-entropy
