severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8973638988,0.2683781981468201,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
1,0.1,0.8665554264,0.3221394121646881,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
2,0.2,0.8454306936,0.35618704557418823,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
3,0.30000000000000004,0.8279888204000001,0.3831193447113037,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
4,0.4,0.8116851484000001,0.4066095650196075,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
5,0.5,0.7914654812,0.4355804324150085,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
6,0.6000000000000001,0.7706564268,0.4637929797172546,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
7,0.7000000000000001,0.7508950352,0.4909303486347199,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
8,0.8,0.7224031692,0.5271159410476685,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
9,0.9,0.685836854,0.5725383162498474,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
10,1.0,0.5948961248,0.6680042743682861,0.7155600000000001,0.8633669464486774,0.737274169921875,vgg13_bn_torchvision,softmax,vgg13_bn_torchvision-softmax
