severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8954304076,0.2684709429740906,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
1,0.1,0.8668320128,0.32005417346954346,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
2,0.2,0.8484596368,0.35045504570007324,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
3,0.30000000000000004,0.8310165744,0.3780518770217896,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
4,0.4,0.8146165868,0.40272679924964905,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
5,0.5,0.7961208108,0.4296434819698334,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
6,0.6000000000000001,0.7756710207999999,0.4577202200889587,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
7,0.7000000000000001,0.7578664184,0.482369214296341,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
8,0.8,0.7293852344,0.5201420187950134,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
9,0.9,0.6915832279999999,0.5685833692550659,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
10,1.0,0.6023271915999999,0.6638970971107483,0.7158,0.8665116140973255,0.7398848533630371,vgg16,softmax,vgg16-softmax
