severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9705740415999999,0.1842557042837143,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
1,0.1,0.9490476459999999,0.2645602524280548,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
2,0.2,0.9273443828,0.3283975422382355,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
3,0.30000000000000004,0.911373614,0.3769747614860535,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
4,0.4,0.8952317512000001,0.4186603426933289,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
5,0.5,0.8789944772,0.4559336304664612,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
6,0.6000000000000001,0.8606862072,0.4976957738399506,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
7,0.7000000000000001,0.8398553064000001,0.5417661070823669,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
8,0.8,0.813036148,0.5872107148170471,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
9,0.9,0.7723706964,0.6474658846855164,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
10,1.0,0.6733115820000001,0.7584647536277771,0.84278,0.8790803253831171,0.8500504493713379,vit_base_patch16_224_miil,softmax,vit_base_patch16_224_miil-softmax
