severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9912521284,-5.976303577423097,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
1,0.09999999999999998,0.981291858,-5.392322063446045,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
2,0.19999999999999996,0.9709281532,-4.872622489929199,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
3,0.29999999999999993,0.9602786636,-4.3434667587280265,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
4,0.3999999999999999,0.9460270608,-3.874249696731568,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
5,0.5,0.9323934576,-3.4817843437194824,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
6,0.6,0.9118600944,-3.049973726272583,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
7,0.7,0.8895274144,-2.620333671569824,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
8,0.8,0.8573951968,-2.1682672500610347,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
9,0.9,0.8123169044,-1.7027387619018557,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
10,1.0,0.7009326847999999,-1.0105690956115725,0.8177800000000001,0.8691466849092335,-0.5914658904075623,vit_base_patch16_224_original,entropy,vit_base_patch16_224_original-entropy
