severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8987058648,0.2477163523435593,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
1,0.1,0.873521964,0.2955687940120697,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
2,0.2,0.8549793831999999,0.32944929599761963,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
3,0.30000000000000004,0.8363547595999999,0.3619007766246796,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
4,0.4,0.8206043936,0.3894206285476685,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
5,0.5,0.800529094,0.4238142967224121,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
6,0.6000000000000001,0.7796197936,0.45762515068054205,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
7,0.7000000000000001,0.7561858988,0.494038313627243,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
8,0.8,0.7266964468000001,0.5397974252700806,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
9,0.9,0.6870312544,0.5949041843414307,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
10,1.0,0.5876275228,0.7071376442909241,0.73698,0.8752824856300035,0.7592023611068726,vit_base_patch32_224_sam,softmax,vit_base_patch32_224_sam-softmax
