severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8527204936,7.6961116790771475,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
1,0.1,0.8130173723999999,7.978040218353271,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
2,0.2,0.792735718,8.096050262451174,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
3,0.30000000000000004,0.770045258,8.207869529724121,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
4,0.4,0.7507983695999999,8.295443534851074,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
5,0.5,0.737039016,8.372272491455076,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
6,0.6000000000000001,0.719623116,8.441648483276367,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
7,0.7000000000000001,0.7054755192000001,8.495823860168457,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
8,0.8,0.6858146824,8.561439514160156,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
9,0.9,0.6587693468,8.644025802612305,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
10,1.0,0.587044362,8.810250282287598,0.7969,0.7970857061265036,8.966005325317383,vit_l_16_torchvision,max_logit,vit_l_16_torchvision-max_logit
