severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9818241244,0.17497672140598294,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
1,0.1,0.9688155572,0.2385273575782776,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
2,0.2,0.955852358,0.2896811366081238,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
3,0.30000000000000004,0.9402648896,0.33996671438217163,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
4,0.4,0.9264786656,0.3821913003921509,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
5,0.5,0.9109418904000001,0.4261815249919891,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
6,0.6000000000000001,0.8901813456000001,0.4782888293266296,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
7,0.7000000000000001,0.8663238844,0.5297873616218567,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
8,0.8,0.8380547904000001,0.5856391191482544,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
9,0.9,0.7960503543999999,0.6543550491333008,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
10,1.0,0.6799396788,0.7844763994216919,0.85846,0.8835898825580162,0.8687049150466919,vit_large_patch16_224,softmax,vit_large_patch16_224-softmax
