severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9948976528,-6.232029914855957,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
1,0.09999999999999998,0.9885814792,-5.815620422363281,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
2,0.19999999999999996,0.9818849452,-5.408090591430664,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
3,0.29999999999999993,0.9738828764,-4.981416702270508,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
4,0.3999999999999999,0.96416717,-4.5473599433898935,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
5,0.5,0.9514072548,-4.1248955726623535,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
6,0.6,0.9383785672,-3.717443466186523,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
7,0.7,0.9178697524,-3.2257113456726074,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
8,0.8,0.8890673644,-2.6558997631073,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
9,0.9,0.8479595268,-2.0749428272247314,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
10,1.0,0.7332438284,-1.1687862873077393,0.81508,0.8595354009964303,-0.5688357353210449,vit_large_patch32_384_original,entropy,vit_large_patch32_384_original-entropy
