severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9955014228,0.010154970921576023,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
1,0.1,0.9902906792,0.016391515731811523,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
2,0.2,0.9849429208,0.022077763453125957,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
3,0.30000000000000004,0.9777012964,0.0290729645639658,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
4,0.4,0.9699515108,0.03620067983865738,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
5,0.5,0.9589500428,0.0455452986061573,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
6,0.6000000000000001,0.9472574064,0.05516620725393295,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
7,0.7000000000000001,0.9320581184000001,0.06749363243579865,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
8,0.8,0.9080429628,0.08657283335924149,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
9,0.9,0.8707115184,0.1161133199930191,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
10,1.0,0.7635113724,0.19996654987335205,0.81508,0.8268013933460691,0.39328664541244507,vit_large_patch32_384_original,odin_temperature-2_noise_mag-1e-05,vit_large_patch32_384_original-odin_temperature-2_noise_mag-1e-05
