severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8882609988,-3.5516157150268555,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
1,0.09999999999999998,0.8615523244,-3.2610170841217037,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
2,0.19999999999999996,0.8442460984,-3.103994607925415,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
3,0.29999999999999993,0.8237103796,-2.9546163082122803,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
4,0.3999999999999999,0.8069053644,-2.832971572875977,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
5,0.5,0.7891842724,-2.71313738822937,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
6,0.6,0.7687318908,-2.580679655075073,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
7,0.7,0.7470238732000001,-2.456679582595825,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
8,0.8,0.7207422891999999,-2.3390555381774902,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
9,0.9,0.6796648804000001,-2.1574409008026123,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
10,1.0,0.5953128028,-1.8638644218444824,0.82484,0.8115285569192137,-1.6080876588821411,vit_relpos_base_patch16_224,entropy,vit_relpos_base_patch16_224-entropy
