severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9518004623999999,0.24570442736148834,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
1,0.1,0.9254092064,0.3143601715564728,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
2,0.2,0.9051652036,0.36107522249221796,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
3,0.30000000000000004,0.8893373104000001,0.3961648344993591,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
4,0.4,0.8720976428,0.4320889711380005,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
5,0.5,0.8510877156000001,0.4709612429141998,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
6,0.6000000000000001,0.8291416523999999,0.5097247362136841,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
7,0.7000000000000001,0.8042805664,0.5495906472206116,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
8,0.8,0.7743138572,0.5921265482902527,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
9,0.9,0.7296121848,0.6494054794311523,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
10,1.0,0.614564704,0.7575528621673584,0.8138,0.8764825978508748,0.8205035328865051,vit_small_patch16_224,softmax,vit_small_patch16_224-softmax
