severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9686739964,-3.898703336715698,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
1,0.09999999999999998,0.9481642292,-3.3399291038513184,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
2,0.19999999999999996,0.927184952,-2.9787447452545166,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
3,0.29999999999999993,0.9123540992,-2.729393482208252,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
4,0.3999999999999999,0.8948976512,-2.4981093406677246,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
5,0.5,0.872627124,-2.2621312141418457,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
6,0.6,0.8504781452,-2.0405819416046143,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
7,0.7,0.8204822368,-1.830773115158081,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
8,0.8,0.7866966608,-1.6047457456588743,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
9,0.9,0.7391002076,-1.3648381233215332,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
10,1.0,0.6236026792,-0.9297168850898744,0.80486,0.8602177280859304,-0.7066722512245178,vit_small_patch32_384,entropy,vit_small_patch32_384-entropy
