severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.931121612,-3.2411937713623047,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
1,0.09999999999999998,0.9082707332,-2.825871467590332,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
2,0.19999999999999996,0.8909451748,-2.6030375957489014,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
3,0.29999999999999993,0.8748476288,-2.4072718620300293,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
4,0.3999999999999999,0.8593149872,-2.230339527130127,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
5,0.5,0.84358753,-2.071744203567505,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
6,0.6,0.8249302984,-1.8939055204391482,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
7,0.7,0.8051287084000001,-1.736227035522461,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
8,0.8,0.7792021607999999,-1.5568629503250122,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
9,0.9,0.7424666888,-1.3319305181503296,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
10,1.0,0.6578622216,-0.9305243492126464,0.78842,0.85902912951196,-0.6054700613021851,wide_resnet101_2_torchvision,entropy,wide_resnet101_2_torchvision-entropy
