severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9193458608,0.3209591805934906,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
1,0.1,0.8912419523999999,0.3886493742465973,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
2,0.2,0.873124378,0.4271250367164612,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
3,0.30000000000000004,0.857486008,0.4587457776069641,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
4,0.4,0.8416355304,0.4881071746349335,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
5,0.5,0.8258966823999999,0.5168788433074951,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
6,0.6000000000000001,0.8099059296,0.54471355676651,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
7,0.7000000000000001,0.7913924992,0.5733254551887512,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
8,0.8,0.7642377856,0.610671877861023,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
9,0.9,0.7312330276000001,0.6535084247589111,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
10,1.0,0.6505349536,0.7391511797904968,0.78482,0.8668537241532368,0.8375321626663208,wide_resnet50_2_torchvision,softmax,wide_resnet50_2_torchvision-softmax
