severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9308630572,-2.672912120819092,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
1,0.09999999999999998,0.9113525188,-2.420249462127685,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
2,0.19999999999999996,0.8969973464000001,-2.2937796115875244,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
3,0.29999999999999993,0.8797750716,-2.1568284034729004,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
4,0.3999999999999999,0.8615659952,-2.0268776416778564,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
5,0.5,0.8386148504,-1.8962299823760984,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
6,0.6,0.8178810372,-1.7643964290618896,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
7,0.7,0.7931958308,-1.648099660873413,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
8,0.8,0.7630433804,-1.5401878356933594,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
9,0.9,0.7206788048,-1.3918571472167969,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
10,1.0,0.6266311739999999,-1.1485952138900757,0.84926,0.8348900091062896,-0.9520354866981506,xcit_large_24_p16_224_dist,entropy,xcit_large_24_p16_224_dist-entropy
