severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9194623608,-3.570253133773804,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
1,0.09999999999999998,0.8932346824,-3.2682113647460938,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
2,0.19999999999999996,0.871962934,-3.075912475585937,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
3,0.29999999999999993,0.846292856,-2.8862030506134038,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
4,0.3999999999999999,0.8218758432,-2.6959478855133057,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
5,0.5,0.7976059184,-2.538205623626709,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
6,0.6,0.7760540176,-2.3974406719207764,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
7,0.7,0.7498588328,-2.2569520473480225,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
8,0.8,0.7238390323999999,-2.1245572566986084,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
9,0.9,0.6846746804,-1.952081680297852,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
10,1.0,0.6040653652000001,-1.6843693256378174,0.8374,0.8137981851516628,-1.4855364561080933,xcit_medium_24_p8_224,entropy,xcit_medium_24_p8_224-entropy
