severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.8896138896,7.8801069259643555,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
1,0.1,0.8612878544,8.114720344543457,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
2,0.2,0.8414628876000001,8.263335227966309,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
3,0.30000000000000004,0.8230071024,8.391587257385254,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
4,0.4,0.8020143228,8.514751434326174,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
5,0.5,0.7835228856,8.623629570007324,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
6,0.6000000000000001,0.7566353788,8.769994735717772,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
7,0.7000000000000001,0.7302730556,8.895817756652832,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
8,0.8,0.6995951516,9.036446571350098,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
9,0.9,0.6570632952000001,9.210412979125977,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
10,1.0,0.579220996,9.49978733062744,0.76334,0.788794988029485,9.77138614654541,xcit_nano_12_p8_224_dist,max_logit,xcit_nano_12_p8_224_dist-max_logit
