severity level,percentile,ood-auroc,ood_avg_conf,id-acc,id-auroc,id_avg_conf,model name,confidence function,model name - confidence function
0,0.0,0.9386481828,-3.066720724105835,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
1,0.09999999999999998,0.9114166632,-2.793973684310913,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
2,0.19999999999999996,0.89203729,-2.605973243713379,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
3,0.29999999999999993,0.8737793164000001,-2.448025941848755,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
4,0.3999999999999999,0.8570530112,-2.317929983139038,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
5,0.5,0.8390860012,-2.182257890701294,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
6,0.6,0.8207230684,-2.050835371017456,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
7,0.7,0.7979433168,-1.9255198240280151,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
8,0.8,0.7680466988,-1.7881793975830078,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
9,0.9,0.7294715968000001,-1.6191637516021729,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
10,1.0,0.6357560475999999,-1.338064193725586,0.8376,0.841835554669452,-1.0753930807113647,xcit_tiny_24_p8_384_dist,entropy,xcit_tiny_24_p8_384_dist-entropy
